epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,527.775,1.18342,2.31065,1.52348,0.71468,0.6308,0.68804,0.49651,1.01733,1.25488,1.41549,0.00333137,0.00333137,0.00333137
2,1033.4,1.2416,1.7636,1.55765,0.69502,0.60426,0.66184,0.46489,1.13047,1.39257,1.52828,0.00659872,0.00659872,0.00659872
3,1534.51,1.39366,2.11209,1.68496,0.6229,0.48434,0.53446,0.34869,1.30979,1.77418,1.71335,0.00980007,0.00980007,0.00980007
4,2033.49,1.44513,2.22263,1.72509,0.68134,0.60157,0.6347,0.43891,1.15687,1.37672,1.53833,0.009703,0.009703,0.009703
5,2532.63,1.35758,1.95741,1.64251,0.68953,0.63062,0.67167,0.47671,1.11112,1.3018,1.47917,0.009604,0.009604,0.009604
6,3031.5,1.28703,1.75899,1.58407,0.76395,0.68042,0.74778,0.54258,1.02003,1.05587,1.40243,0.009505,0.009505,0.009505
7,3531,1.24639,1.62595,1.54924,0.78531,0.69232,0.76379,0.55569,1.00743,1.03435,1.39133,0.009406,0.009406,0.009406
8,4029.98,1.19603,1.50011,1.50834,0.79156,0.70435,0.77235,0.56945,0.98443,0.98357,1.38785,0.009307,0.009307,0.009307
9,4529.13,1.17852,1.41258,1.49341,0.81194,0.75265,0.8085,0.60675,0.92395,0.87734,1.31583,0.009208,0.009208,0.009208
10,5028.2,1.14459,1.32703,1.47158,0.84778,0.75906,0.82007,0.61529,0.90861,0.81477,1.30634,0.009109,0.009109,0.009109
11,5529.06,1.12553,1.283,1.44919,0.8299,0.78768,0.82983,0.62863,0.88973,0.77897,1.28774,0.00901,0.00901,0.00901
12,6056.29,1.10845,1.23553,1.43678,0.8346,0.78945,0.84046,0.64571,0.85732,0.74226,1.25746,0.008911,0.008911,0.008911
13,6557.43,1.09304,1.18508,1.42504,0.85304,0.7832,0.84006,0.6481,0.85652,0.7072,1.25525,0.008812,0.008812,0.008812
14,7057.96,1.07361,1.13598,1.40838,0.86795,0.78374,0.84736,0.65912,0.84812,0.71362,1.23914,0.008713,0.008713,0.008713
15,7558.17,1.0598,1.09707,1.39383,0.8871,0.78558,0.85225,0.6621,0.81806,0.68408,1.22863,0.008614,0.008614,0.008614
16,8061.87,1.04343,1.06868,1.38545,0.84851,0.82114,0.86297,0.67384,0.80567,0.66033,1.21171,0.008515,0.008515,0.008515
17,8562.65,1.04124,1.04371,1.38149,0.8606,0.81833,0.8596,0.67685,0.79348,0.64572,1.20058,0.008416,0.008416,0.008416
18,9062.92,1.02704,1.0182,1.37038,0.86221,0.80798,0.86344,0.67925,0.80953,0.6393,1.20542,0.008317,0.008317,0.008317
19,9579.76,1.0064,0.97588,1.34835,0.879,0.82314,0.87848,0.69642,0.78007,0.60276,1.18479,0.008218,0.008218,0.008218
20,10148.7,0.99734,0.95754,1.34789,0.87702,0.82854,0.87836,0.69323,0.78936,0.60679,1.20375,0.008119,0.008119,0.008119
21,10711,1.00237,0.95567,1.34252,0.88025,0.83211,0.88491,0.7008,0.77535,0.58423,1.1771,0.00802,0.00802,0.00802
22,11211,0.99011,0.91839,1.33864,0.87545,0.84468,0.89078,0.71311,0.75237,0.56186,1.1673,0.007921,0.007921,0.007921
23,11713.4,0.98509,0.91106,1.33573,0.87565,0.84618,0.89085,0.71619,0.75058,0.55846,1.15621,0.007822,0.007822,0.007822
24,12217.6,0.9695,0.89643,1.32605,0.87105,0.85084,0.89198,0.71374,0.74697,0.56314,1.15975,0.007723,0.007723,0.007723
25,12719.6,0.96398,0.874,1.32161,0.88133,0.84196,0.88819,0.71487,0.7433,0.55245,1.15464,0.007624,0.007624,0.007624
26,13222.1,0.95201,0.85807,1.31473,0.87445,0.85621,0.89245,0.71975,0.73531,0.55006,1.14823,0.007525,0.007525,0.007525
27,13724.5,0.95726,0.86024,1.31825,0.89184,0.85764,0.90095,0.72974,0.72751,0.51393,1.13985,0.007426,0.007426,0.007426
28,14225.3,0.94023,0.8321,1.30493,0.86915,0.86235,0.8943,0.72802,0.7149,0.51802,1.13546,0.007327,0.007327,0.007327
29,14736.4,0.93634,0.8259,1.30052,0.87775,0.85201,0.89622,0.72434,0.71913,0.52938,1.14137,0.007228,0.007228,0.007228
30,15241.3,0.93365,0.81578,1.29239,0.89516,0.85476,0.9002,0.73521,0.72056,0.51777,1.12706,0.007129,0.007129,0.007129
31,15741.6,0.9233,0.80015,1.28205,0.88439,0.86263,0.90051,0.73481,0.71258,0.5135,1.12681,0.00703,0.00703,0.00703
32,16242.4,0.91732,0.78863,1.28112,0.89276,0.85513,0.89697,0.73365,0.71034,0.50602,1.12232,0.006931,0.006931,0.006931
33,16742.2,0.92675,0.78194,1.28425,0.87426,0.87478,0.89988,0.73384,0.70863,0.5108,1.11988,0.006832,0.006832,0.006832
34,17241.5,0.90941,0.76322,1.27325,0.88852,0.86754,0.9027,0.74096,0.70033,0.49785,1.11331,0.006733,0.006733,0.006733
35,17741.3,0.90776,0.75234,1.27033,0.88153,0.87902,0.90385,0.74048,0.69796,0.48922,1.11061,0.006634,0.006634,0.006634
36,18248.9,0.89905,0.75132,1.26794,0.88625,0.87443,0.89815,0.73498,0.70114,0.50307,1.12219,0.006535,0.006535,0.006535
37,18814.7,0.89618,0.74771,1.26408,0.88994,0.86946,0.9026,0.74427,0.69455,0.48777,1.11222,0.006436,0.006436,0.006436
38,19388,0.89323,0.73004,1.26196,0.88703,0.87737,0.90802,0.74852,0.69178,0.48197,1.10781,0.006337,0.006337,0.006337
39,19901,0.89134,0.72681,1.26342,0.8801,0.88159,0.90735,0.75147,0.68859,0.47832,1.11156,0.006238,0.006238,0.006238
40,20401.5,0.87806,0.71511,1.25407,0.88843,0.87473,0.90518,0.74869,0.68402,0.48351,1.10277,0.006139,0.006139,0.006139
41,20901.9,0.87975,0.70861,1.25514,0.89602,0.87245,0.90697,0.75282,0.68353,0.47984,1.10193,0.00604,0.00604,0.00604
42,21402.7,0.87745,0.70463,1.24763,0.88591,0.87608,0.90946,0.75185,0.68198,0.46841,1.09845,0.005941,0.005941,0.005941
43,21903.1,0.86032,0.68602,1.24579,0.8812,0.88211,0.9058,0.75127,0.67885,0.47861,1.09792,0.005842,0.005842,0.005842
44,22404.7,0.8634,0.68658,1.23831,0.89297,0.87645,0.90819,0.75316,0.67897,0.47902,1.09568,0.005743,0.005743,0.005743
45,22906.3,0.85127,0.67677,1.23446,0.89549,0.87494,0.91077,0.7547,0.67254,0.47721,1.09347,0.005644,0.005644,0.005644
46,23407.6,0.85292,0.6718,1.22921,0.90004,0.87162,0.91016,0.75546,0.66913,0.47455,1.08897,0.005545,0.005545,0.005545
